,Station Name,Street Address,City,State,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,EV Pricing
30,Van Nuys Station,7724 Van Nuys Blvd,Van Nuys,CA,91405,TEMPORARILY UNAVAILABLE (Public),,,4,,EV Connect,34.211366,-118.448346,10/12/23,7245,2023-10-12 01:04:09 UTC,6/30/98,J1772,
31,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,Public,24 hours daily,,4,,Non-Networked,33.94756,-118.153806,1/10/22,7250,2022-02-10 19:42:29 UTC,6/15/98,J1772,Free
32,Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,Public,24 hours daily; pay lot; see valet for access,,1,,Non-Networked,37.80619,-122.4152,5/3/23,7280,2023-05-03 20:36:28 UTC,7/1/98,J1772,
33,Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,Public,24 hours daily,,4,,Non-Networked,38.599693,-121.427045,1/10/23,7286,2023-02-14 15:54:11 UTC,11/1/19,J1772,Free
34,Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115,Public - Credit card at all times,24 hours daily; pay lot,,,,Non-Networked,37.784912,-122.430237,9/14/22,21351,2023-02-14 15:54:11 UTC,1/31/02,,
35,Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,Public,24 hours daily,,2,,Non-Networked,37.78881,-122.401,5/3/23,21358,2023-05-03 20:36:28 UTC,1/31/02,J1772,$7 per session
36,Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,Public,24 hours daily; for guest use only; see valet for access,,1,,Non-Networked,37.791791,-122.411265,11/4/21,21360,2023-07-16 17:53:40 UTC,1/31/02,J1772,
37,Music Center Parking - Level 2,135 N Grand Ave,Los Angeles,CA,90012,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,3,,Non-Networked,34.057657,-118.24789,8/10/22,21374,2023-02-14 15:54:11 UTC,1/31/02,J1772,Free
38,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,Public,24 hours daily; parking permit required,,2,,Non-Networked,34.248959,-118.523887,10/12/21,21395,2023-10-05 19:23:23 UTC,1/15/02,J1772,Free
39,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,Public,24 hours daily; parking permit required,,2,,Non-Networked,34.241687,-118.528543,10/12/21,21396,2023-10-05 19:21:33 UTC,1/15/02,J1772,Free; parking is $8 per day.
40,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,Public,24 hours daily; parking permit required,,4,,Non-Networked,34.236853,-118.532588,10/12/21,21397,2023-10-05 19:23:23 UTC,1/15/02,J1772,Free
41,Northridge Station,8775 Wilbur Ave,Los Angeles,CA,91324,TEMPORARILY UNAVAILABLE (Public),,,4,,EV Connect,34.22947,-118.544934,10/12/23,21398,2023-10-12 01:04:09 UTC,4/1/19,J1772,
42,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,Public,8am-5pm daily,,4,,Non-Networked,33.740758,-118.28192,1/10/22,21402,2022-02-10 19:42:29 UTC,3/26/13,J1772,Free
43,Sylmar Station,Village Way Dr,San Fernando,CA,91342,Public,,,4,,EV Connect,34.293717,-118.449219,10/12/23,21414,2023-10-12 01:04:09 UTC,4/1/19,J1772,
44,Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,Public,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,12,15,,Non-Networked,34.077588,-118.474585,1/10/23,21419,2023-02-14 15:54:11 UTC,7/1/13,J1772 NEMA520,Free; parking fee
45,Los Angeles County - Arboretum,301 N Baldwin Ave,Arcadia,CA,91007,Public,24 hours daily,,3,,POWERFLEX,34.145528,-118.050548,8/10/22,21450,2023-02-14 15:54:11 UTC,6/1/14,J1772,$0.30 per kWh; $0.45 per kWh from 4pm-9pm
46,City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,Public,5am-2am daily,,3,,Non-Networked,34.13556,-117.864,5/3/23,21498,2023-05-03 20:36:28 UTC,4/30/02,J1772,Free
47,DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,CA,90230,Public,24 hours daily; guest use only; see valet,,2,,Non-Networked,33.9826,-118.3966,6/12/23,21524,2023-06-12 16:56:16 UTC,12/31/19,J1772,
48,Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,Public,24 hours daily,,6,,Non-Networked,34.029971,-118.385231,6/12/23,21525,2023-06-12 16:56:16 UTC,4/25/17,J1772,"$1.35 per hour for first two hours, $3 per hour thereafter"
49,Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,Public,Business hours,,6,,Non-Networked,33.777054,-117.870566,8/10/22,21535,2023-02-14 15:54:11 UTC,5/30/02,J1772,
50,California State University - Channel Islands,1 University Dr,Camarillo,CA,93012,Public,24 hours daily; parking pass required or day pass available for purchase,,5,,Non-Networked,34.16657602,-119.0458547,6/12/23,21559,2023-06-12 16:56:16 UTC,5/30/02,J1772,Free; $6 for parking day pass for non-permit holders
51,Brea Downtown Parking,101 S Brea Blvd,Brea,CA,92821,Public,Garage business hours; 4 hour parking limit,,4,,Non-Networked,33.919899,-117.898618,7/11/23,21561,2023-07-11 18:28:56 UTC,5/30/02,J1772,
52,Home Depot,2745 Teller Rd,Newbury Park,CA,91320,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,4,2,,Non-Networked,34.192178,-118.934793,8/10/23,21565,2023-08-10 16:58:49 UTC,5/15/02,J1772 NEMA515,Free
53,Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,Public - Call ahead,8am-5pm daily,,1,,Non-Networked,34.418322,-119.3368,8/10/22,21566,2023-02-14 15:54:11 UTC,5/30/02,J1772,$20 parking fee
54,San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,CA,91773,Public,24 hours daily,,2,,Non-Networked,34.105275,-117.809208,8/10/23,21569,2023-08-10 16:58:49 UTC,5/30/02,J1772,Free
55,City of Pasadena - El Molino Lot,100 N El Molino Ave,Pasadena,CA,91101,Public,24 hours daily; pay lot,,4,,Non-Networked,34.147709,-118.136621,1/10/23,21594,2023-02-14 15:54:11 UTC,5/30/02,J1772,Free; parking fee
56,Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,Public,8am-5pm daily,,3,,Non-Networked,34.267352,-119.2124,8/10/22,21606,2023-10-05 19:35:04 UTC,10/19/12,J1772,
57,Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,Public - Limited hours,8am-5pm daily,,3,,Non-Networked,34.268756,-119.2154,9/14/22,21607,2023-02-14 15:54:11 UTC,10/18/12,J1772,Free
58,Pacific View Mall,3295 E Main St,Ventura,CA,93003,Public,24 hours daily,,2,,Non-Networked,34.268,-119.2492,7/11/23,21608,2023-07-11 18:28:56 UTC,5/30/02,J1772,Free
