,Station Name,Street Address,City,State,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,EV Pricing
529,CAPITAL GATEWAY STATION 5,1 14th Ave SE,Olympia,WA,98501,Public,24 hours daily,,1.0,,ChargePoint Network,47.035839,-122.895096,2023-09-29,154307,2023-09-29 00:28:53 UTC,2020-03-05,J1772,
530,CPU EC 3 ADA,1200 Fort Vancouver Way Covered Walkway Parki,Vancouver,WA,98663,Public,24 hours daily,,1.0,,ChargePoint Network,45.630036,-122.663442,2023-09-29,154485,2023-09-29 00:26:08 UTC,2020-03-14,J1772,
531,"Walgreens 13503 SE MILL PLAIN,  VANCOUVER",13503 Se Mill Plain,Vancouver,WA,98684,Public,Mon 8:00am - 8:00pm; Tue 8:00am - 8:00pm; Wed 8:00am - 8:00pm; Thu 8:00am - 8:00pm; Fri 8:00am - 8:00pm; Sat 8:00am - 8:00pm; Sun 8:00am - 8:00pm,,2.0,,Volta,45.6178815,-122.5332135,2023-09-29,154673,2023-09-29 01:07:58 UTC,2020-03-13,J1772,
532,Pilot Travel Center - Tesla Supercharger,2430 93rd Avenue Southwest,Tumwater,WA,98512,Public,24 hours daily,,,8.0,Tesla,46.952938,-122.935249,2023-07-01,154791,2023-07-14 19:41:28 UTC,2020-03-27,TESLA,
533,Vancouver Mall - Tesla Supercharger,8700 NE Vancouver Mall Drive,Vancouver,WA,98662,Public,24 hours daily,,,8.0,Tesla,45.659583,-122.583536,2023-07-01,154794,2023-07-14 19:41:28 UTC,2020-03-27,TESLA,
534,Office Park,2404 Heritage Court SW,Olympia,WA,98502,Public,24 hours daily,,2.0,,Blink Network,47.02759,-122.920589,2023-09-29,155129,2023-09-29 00:04:17 UTC,2020-04-02,J1772,Free
535,Dew Drop Inn - Tesla Supercharger,100 Fern Hill Road,Forks,WA,98331,Public,24 hours daily,,,8.0,Tesla,47.942921,-124.385236,2023-07-01,155169,2023-07-14 19:41:28 UTC,2020-04-03,TESLA,
536,"BOA 5-119 Kent, WA","311 4th. Ave. N. Kent, Washington 98032",Kent,WA,98032,Public,24 hours daily,,1.0,3.0,Electrify America,47.3833,-122.23618,2023-09-29,155325,2023-09-29 01:01:12 UTC,2020-04-11,CHADEMO J1772 J1772COMBO,
537,531611 : Amazon Phase VI - Bigness,515 Westlake Avenue North,Seattle,WA,98109,Public,24 hours daily,,10.0,,Blink Network,47.6241877,-122.3386584,2023-09-29,155333,2023-09-29 00:01:47 UTC,2018-06-20,J1772,FREE
538,Bigness,515 Westlake Avenue North,Seattle,WA,98109,Public,24 hours daily,,3.0,,Blink Network,47.6241877,-122.3386584,2023-09-29,155334,2023-09-29 00:01:47 UTC,2020-04-14,J1772,FREE
539,531618 : Sidneysea LLC | Brazil,400 9th Avenue North,Seattle,WA,98109,Public,24 hours daily,,4.0,,Blink Network,47.6228746,-122.3394194,2023-09-29,155335,2023-09-29 00:01:47 UTC,2020-04-14,J1772,FREE
540,531619 : Apollo Eight LLC,325 9th Avenue,Seattle,WA,98104,Public,24 hours daily,,6.0,,Blink Network,47.6039634,-122.3241159,2023-09-29,155337,2023-09-29 00:01:47 UTC,2020-04-14,J1772,FREE
541,Apollo Eight LLC,325 9th Avenue,Seattle,WA,98104,Public,24 hours daily,,3.0,,Blink Network,47.6039634,-122.3241159,2023-09-29,155338,2023-09-29 00:01:47 UTC,2020-04-14,J1772,FREE
542,STCU Airway Heights,10811 W ST RT 2 HWY,Airway Heights,WA,99001,Public,,,2.0,,EV Connect,47.642531,-117.561399,2023-09-29,155375,2023-09-29 01:04:17 UTC,2020-04-10,J1772,
543,Sunwest Automotive Engine Inc,210 S Broad St,Medical Lake,WA,99022,Public,,,2.0,,EV Connect,47.571612,-117.681838,2023-09-29,155376,2023-09-29 01:04:17 UTC,2020-04-10,J1772,
544,PA PA CHARGER,2125 1st Ave,Seattle,WA,98121,Public,24 hours daily,,2.0,,ChargePoint Network,47.612154,-122.345283,2023-09-29,155465,2023-09-29 00:28:38 UTC,2020-04-21,J1772,
545,BELLEVUE X-ROADS PARK 1,999 164th Ave NE,Bellevue,WA,98008,Public,24 hours daily,,2.0,,ChargePoint Network,47.61822,-122.122476,2023-09-29,155535,2023-09-29 00:28:59 UTC,2020-04-23,J1772,
546,HUDSON NRTHVIEW STATION 3,20800 44th Ave W,Lynnwood,WA,98036,Public,24 hours daily,,2.0,,ChargePoint Network,47.81013,-122.294248,2023-09-29,156212,2023-09-29 00:30:02 UTC,2020-05-12,J1772,
547,HUDSON NRTHVIEW STATION 1,20816 44th Ave W,Lynnwood,WA,98036,Public,24 hours daily,,2.0,,ChargePoint Network,47.8107,-122.295343,2023-09-29,156213,2023-09-29 00:29:53 UTC,2020-05-12,J1772,
548,Prosser,40 Merlot Drive,Prosser,WA,99350,Public,24 hours daily,,,1.0,SHELL_RECHARGE,46.219996,-119.78951,2023-09-29,156215,2023-09-29 00:58:57 UTC,2020-05-12,CHADEMO J1772COMBO,
549,Best Western - Wesley Inn & Suites,6575 Kimball Dr,Gig Harbor,WA,98335,Public,24 hours daily; for guest use only; see front desk for access,,1.0,,Non-Networked,47.318046,-122.584772,2022-08-10,158634,2023-02-14 15:54:11 UTC,2020-06-05,J1772,Free
550,Kitsap Transit - Harborside Parking Garage,100 Washinton Ave,Bremerton,WA,98337,Public,24 hours daily,,4.0,,Non-Networked,47.563883,-122.624526,2022-08-10,158635,2023-02-14 15:54:11 UTC,2020-06-05,J1772,Free
551,Anacortes Public Parking,559 Q Ave,Anacortes,WA,98221,Public,24 hours daily,,1.0,,Non-Networked,48.517768,-122.610743,2022-08-10,158636,2023-02-14 15:54:11 UTC,2020-06-05,J1772,$0.10 per kWh; parking fee
552,Panera Bread - Tesla Supercharger,207 Three Rivers Drive,Kelso,WA,98626,Public,24 hours daily,,,12.0,Tesla,46.143261,-122.898533,2023-07-01,158651,2023-07-14 19:41:28 UTC,2020-06-11,TESLA,
553,ATRIUM GARAGE ATRIUM GARAGE,110 110th Ave NE,Bellevue,WA,98004,Public,24 hours daily,,2.0,,ChargePoint Network,47.611456,-122.193235,2023-09-29,162808,2023-09-29 00:05:52 UTC,2020-06-12,J1772,
554,BELLEFIELD MADRONA 1,1300 114th Ave SE,Bellevue,WA,98004,Public,24 hours daily,,2.0,,ChargePoint Network,47.599757,-122.187281,2023-09-29,162810,2023-09-29 00:05:49 UTC,2020-06-12,J1772,
555,SWD STATION  1 NORTH CITY #1,1519 NE 177th St,Shoreline,WA,98155,Public,24 hours daily,,2.0,,ChargePoint Network,47.756896,-122.312344,2023-09-29,162814,2023-09-29 00:05:39 UTC,2020-06-12,J1772,
556,"Cafaro VANCOUVER PLAZA (Vancouver, WA)",7809 NE Vancouver Plaza Dr,Vancouver,WA,98663,Public,24 hours daily,,,4.0,Electrify America,45.64992,-122.59341,2023-09-29,163338,2023-09-29 01:01:23 UTC,2020-06-13,CHADEMO J1772COMBO,
557,City of Colville,202 N Main,Colville,WA,99114,Public,24 hours daily,,2.0,,SHELL_RECHARGE,48.545492,-117.905583,2023-09-29,163521,2023-09-29 00:58:35 UTC,2020-06-20,J1772,
